,Date,Close/Last,Volume,Open,High,Low,Gain or Loss,Next Day,SPY Open,SPY High,SPY Low,SPY Close,SPY Adj Close,SPY Volume,SPY Gain or Loss,SPY Next Day,Quarter,Quarter1,Quarter2,Quarter3,Quarter4,Earnings,iPhone,iPad,Mac,Other
199,05/20/2019,183.09,38612290.0,183.52,184.349,180.2839,0.0,1.0,284.06,285.96,283.12,283.95,266.83,62877600.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,05/17/2019,189.0,32879090.0,186.93,190.9,186.76,0.0,0.0,285.14,288.6,285.12,285.84,268.6,100353000.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,05/16/2019,190.08,33031360.0,189.91,192.4689,188.84,0.0,0.0,285.84,289.21,285.76,287.7,270.35,76749600.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,05/15/2019,190.92,26544720.0,186.27,191.75,186.02,1.0,0.0,281.59,285.77,281.36,285.06,267.87,73956400.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,05/14/2019,188.66,36529680.0,186.41,189.7,185.41,1.0,1.0,281.99,285.1,281.85,283.4,266.31,77003200.0,1.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,05/13/2019,185.72,57430620.0,187.71,189.48,182.85,0.0,1.0,282.42,283.49,279.93,280.86,263.92,127290500.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,05/10/2019,197.18,41208710.0,197.419,198.85,192.77,0.0,0.0,285.62,288.94,282.3,288.1,270.73,112429300.0,1.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,05/09/2019,200.72,34908610.0,200.4,201.68,196.66,0.0,0.0,285.23,287.33,283.3,286.66,269.37,103471100.0,0.0,1.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,05/08/2019,202.9,26339500.0,201.9,205.34,201.75,1.0,0.0,287.53,289.43,286.87,287.53,270.19,91568300.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,05/07/2019,202.86,38763700.0,205.88,207.4175,200.825,0.0,1.0,290.15,290.81,285.81,287.93,270.57,144729900.0,0.0,0.0,2019Q2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
